section,metric,value
scenario,requests,529
scenario,attempts,4745
scenario,constraints,96624
scenario,avg_angle,22.746012
scenario,avg_area,499.291544
scenario,avg_price,993.774710
scenario,avg_sun_elevation,59.202408
scenario,avg_cloud_cover,25.842011
scenario,avg_priority,2.427397
solution,acquisitions,291
solution,unique_requests_served,217
solution,total_score,179.1055848261327696
solution,ofv,-179.1055848261327696
solution,total_profit,284393.000000
solution,total_area,161923.786720
solution,avg_cloud_cover,25.370364
solution,cloud_good_lt10,2
solution,cloud_bad_gt30,66
solution,avg_angle,22.683553
solution,angle_good_le10,19
solution,angle_bad_ge30,23
solution,avg_priority,2.494845
solution,priority_1,73
solution,priority_2,69
solution,priority_3,81
solution,priority_4,68
solution,avg_sun_elevation,54.275346
eos,solution_method,DAG
eos,solver_time,795.706
eos,total_time,797.590
