section,metric,value
scenario,requests,20
scenario,attempts,195
scenario,constraints,568
scenario,avg_angle,21.477309
scenario,avg_area,372.305701
scenario,avg_price,1051.035897
scenario,avg_sun_elevation,53.232657
scenario,avg_cloud_cover,1.130736
scenario,avg_priority,2.292308
solution,acquisitions,22
solution,unique_requests_served,20
solution,total_score,12.6564102564102576
solution,ofv,-12.6564102564102576
solution,total_profit,23906.000000
solution,total_area,9156.151600
solution,avg_cloud_cover,1.039362
solution,cloud_good_lt10,22
solution,cloud_bad_gt30,0
solution,avg_angle,25.372108
solution,angle_good_le10,0
solution,angle_bad_ge30,0
solution,avg_priority,2.227273
solution,priority_1,7
solution,priority_2,6
solution,priority_3,6
solution,priority_4,3
solution,avg_sun_elevation,53.680155
eos,solution_method,DAG
eos,solver_time,0.191
eos,total_time,0.215
