section,metric,value
scenario,requests,19
scenario,attempts,206
scenario,n_sats,1
scenario,constraints,299
scenario,avg_angle,19.333543
scenario,avg_area,602.133058
scenario,avg_price,1132.631068
scenario,avg_sun_elevation,55.716084
scenario,avg_cloud_cover,17.156287
scenario,avg_priority,2.776699
solution,acquisitions,29
solution,unique_requests_served,19
solution,total_score,16.2233009708737903
solution,ofv,-16.2233009708737903
solution,total_profit,32252.000000
solution,total_area,19501.169598
solution,avg_cloud_cover,16.612037
solution,cloud_good_lt10,7
solution,cloud_bad_gt30,1
solution,avg_angle,23.381573
solution,angle_good_le10,0
solution,angle_bad_ge30,1
solution,avg_priority,2.862069
solution,priority_1,6
solution,priority_2,3
solution,priority_3,9
solution,priority_4,11
solution,avg_sun_elevation,54.079840
eos,solution_method,DAG
eos,solver_time,0.304
eos,total_time,0.337
