### EOSS Scenario Dump ###


--- LPP ---
<function LPP_data at 0x000001FD411C0FE0>

--- DF ---
     ID  acquired  reachable                          request location  day        area  stereo  strips  duration  priority  priority mod  customer type mod  price  waiting time
0    01         0          0    [15.44551533720978, 45.29543178188873]    0   59.482881       0       1  5.445600         2             2                  2   1446            14
1    02         0          0  [-25.42735377732895, -57.59639409429197]    0  401.827952       0       1  2.538229         2             2                  2   1395             6
2    03         0          0    [15.40097554812284, 44.20927759626986]    0  820.057035       0       2  7.340499         2             2                  2    906             5
3    04         0          0   [36.06777302094315, -95.94175108393925]    0  127.438459       0       1  7.793815         4             4                  3    786            14
4    05         0          0    [23.90026569267277, 113.3390769456514]    0  672.170130       0       1  3.214181         4             4                  3    992            12
5    06         0          0   [-21.4902902963777, -64.83707616408573]    0    4.612246       0       1  6.227839         2             2                  2   1416             3
6    07         0          0    [15.50102070048514, 45.41931108805838]    0  110.627710       0       1  7.051632         1             1                  1   1035             3
7    08         0          0    [15.42750224499109, 44.21855778761622]    0  351.499495       0       1  5.239061         1             1                  1    955             8
8    09         0          0    [34.55784217130976, 108.4980001147001]    0   84.518679       0       1  3.939939         4             4                  3    991            11
9   010         0          0    [29.7478931171751, -80.98193319510803]    0  846.055766       0       2  4.871352         4             4                  3    508             8
10  011         0          0     [32.3724013309903, 34.84851466648656]    0  864.206433       0       2  5.073613         2             2                  2   1417             5
11  012         0          0    [47.43201384411275, 16.49871748024867]    0  755.815132       0       2  4.403822         1             1                  1    631             5
12  013         0          0     [27.23273465917707, 84.8995652894349]    0  243.237152       0       1  7.579055         3             3                  3    576             5
13  014         0          0    [14.76959823779747, -16.1333381560169]    0  523.723828       0       1  6.463299         2             2                  2   1237            12
14  015         0          0   [45.14600795418758, -74.22434035818429]    0  185.004337       0       1  3.447810         4             4                  3    630             3
15  016         0          0    [24.60431228843975, 54.75734952573463]    0  281.997172       0       1  5.513343         4             4                  3   1496            14
16  017         0          0    [35.78334880271958, 113.0968741963182]    0  516.489287       0       1  6.132135         4             4                  3   1387            14
17  018         0          0    [35.89748198130876, 4.560494933910888]    0  735.278795       0       2  2.840939         3             3                  3    911            10
18  019         0          0   [32.26335503153177, -102.2535479307044]    0   95.559726       0       1  4.150554         1             1                  1    589             2
19  020         0          0     [15.4110937526177, 44.24364969064708]    0  297.400001       0       1  7.433290         4             4                  3    997             9
